onset	duration	trial_type
2.675361	2.324915	language-easy_environment-clear
6.448150	2.552144	language-hard_environment-clear
10.488593	2.511695	language-easy_environment-fog
14.473671	2.527099	language-hard_environment-fog
18.520212	2.480025	language-hard_environment-fog
22.481808	2.518369	language-easy_environment-fog
26.449244	2.551039	language-hard_environment-clear
30.472574	2.527699	language-easy_environment-clear
