onset	duration	trial_type
20.540446	29.459760	language-easy_environment-clear
60.555941	29.444260	language-hard_environment-fog
100.666513	29.333983	language-easy_environment-fog
140.578921	29.421514	language-hard_environment-clear
180.561655	29.439034	language-hard_environment-clear
220.586347	29.413881	language-easy_environment-fog
260.610327	29.389887	language-hard_environment-fog
300.594939	29.405306	language-easy_environment-clear
