onset	duration	trial_type
2.524374	2.475831	language-easy_environment-clear
6.470208	2.530011	language-hard_environment-clear
10.444349	2.556000	language-easy_environment-fog
14.468222	2.531973	language-hard_environment-fog
18.487978	2.512321	language-hard_environment-fog
22.461657	2.538563	language-easy_environment-fog
26.473675	2.526537	language-hard_environment-clear
30.478761	2.521422	language-easy_environment-clear
