onset	duration	trial_type
3.621652	29.379621	language-easy_environment-clear
36.719354	29.280958	language-hard_environment-clear
69.707200	29.293039	language-easy_environment-fog
102.661421	29.338908	language-hard_environment-fog
135.555823	29.444330	language-hard_environment-fog
168.534308	29.466026	language-easy_environment-fog
201.487541	29.512725	language-hard_environment-clear
234.593626	29.406956	language-easy_environment-clear
